,CONCEPT,Ambai (Yapen) [amk],Araki [akr],As [asz],Bierebo (Yevali) [bnk],Biga (Misool) [xmt],Buli [bzq],Futuna-Aniwa (Aniwa) [fut],Gimán [gzn],Irarutu [irh],Kasira (Irahutu) [irh],Lelepa [lpa],Maskelynes [klv],Minyaifuin (Gebe) [gei],Numfor [bhw],Paama (Lironesa) [pma],Pulau (Arguni) [agf],Roria [rga],Vao [vao],Waropen [wrp],Windesi Wandamen [wad]
0,Eight,,hawalu,,o-rolu,,,βaru,,(fradfid) tretor,,la-tol,me-leβ-tœr,,,ou-tel,,rap-tol,xo-al,waŋgea ka oro,
1,Fifty,,,,,,,,,matut tni ru risi esuem,,,,,,,,,,,
2,Five,riŋ,lim̈a,,čima,,,rima,,fradfid,,lim,e-rim,,,e-lim,,nye-lni,ɣe-lim̈e,waŋgea,rime
3,Four,bo-a,v̈ari,fat,βeri,fat,[si] fat,fa,pfot,gigti,gegite,pat,i-βat,pi-fat,fiak,e-hat,fat,nye-ðað,ɣe-v̈at,ako,at[e]
4,I,yau,na,anɛ,kinu,ini,ya,wau,yak,ja,ia,konou,kinau,ane,ya,inau,embie,nia,ina,ya,yau
5,Nine,,haisua,,o-βeri,,,iβa,,(fradfid) tregigti,,lo-fet,mela-pat,,,ou-hat,,ra-nðyet,xe-hiβe,waŋgea ka ako,
6,One,bo-yori,mɔ hɛse,sa,takore,katen,[a] sa/[i]sa,tasi,pso,esu,eso,skei,sua,pi-sa,saï,tai,sia,eskar,ɣete,wosi,esa
7,One Hundred,,,,,,,,,ratu esu,,,,,,,,,,,
8,One Thousand,,,,,,,,,rifu esuem,,,,,,,,,,,
9,Seven,itu,haifiru,,o-lua,,,fitu,,(fradfid) treru,,la-rua,me-leβ-ru,,,ou-lu,,raβ-ru,ɣe-ᵐbüt,waŋgea ka woruo,
10,Six,wona(ŋ),haiono,,ora,,,ono,,(fradfid) treso,,latˢa,meleβtes,,,ahitai,,niya-rað,ɣeyon,waŋgea ka wosio,
11,Ten,,saŋaβulu,,lualima,,,taŋafuru,,fradru,,rualima,səŋaβur,,,halualim,,saŋβul,haŋaβul,sauro,
12,Three,bo-toru,mɔ rolu,tu,tolu,tol,[si] tol,toru,ptol,tor,torə,tolu,i-tœr,pi-tol,kior,etelu̥,taor,nye-tol,ɣe-tol,oro,toru
13,Twenty,,,,,,,,,matutni,,,,,,,,,,nuŋgu etio,
14,Two,bo-ru,mɔ rua,lu,čua,lo,[si] lu,rua,plu,ru,rifo,rua,e-ru,pi-lu,duï,e-lu,ru,nye-ru,ɣe-ru,woru,muandu
15,above,jaifai,,,,pa|pɔwɔ,popó,,payau,ffu,adeitə,,,la-ya,bo,,apo,,,[ru]bo,vavo
16,all,tafau,mo,faluʔ,pʷaŋa,tudde,fa-rumi,oči,hadumik,timbe,temebe,te mouna,,sef,kam,keil,fasigerig,,,kai,wura
